Category,Sub-Category,Sales,Profit,Quantity
Furniture,Bookcases,64.73625882563299,1071.6347115131152,453.7692307692307
Furniture,Chairs,66.2671032151374,1520.319376946089,684.7692307692307
Furniture,Furnishings,16.970145992346527,1397.9307993544512,619.6153846153845
Furniture,Tables,33.424261733659186,374.56765996082385,170.9230769230769
Office Supplies,Appliances,44.627770933838875,781.6451956719333,332.5384615384615
Office Supplies,Art,16.340813041378432,2152.383032967967,878.3076923076923
Office Supplies,Binders,20.28356248307023,2711.7092827084666,1175.153846153846
Office Supplies,Envelopes,7.501673802444583,1073.3731280975926,457.30769230769226
Office Supplies,Fasteners,3.629636241412341,1065.5680800154453,459.23076923076917
Office Supplies,Labels,3.1913972572531084,1147.6403980972207,516.6153846153845
Office Supplies,Paper,10.721815593896752,1560.666775824779,714.1538461538461
Office Supplies,Storage,49.688041197566534,2233.1901945699296,912.1538461538461
Office Supplies,Supplies,10.68986375849907,1068.5052709561642,470.6153846153846
Technology,Accessories,33.03606896375624,1361.6414194470194,605.4615384615385
Technology,Copiers,66.6333979361106,995.3576285753942,402.38461538461536
Technology,Machines,34.3846207815907,657.7643625440451,263.07692307692304
Technology,Phones,75.3304584903035,1491.5274508041823,654.8461538461538
